match_id,match_datetime_utc,tournament_name,round_number,home_team_name,away_team_name,home_score,away_score,venue_name
12450275,2025-05-17 19:00:00+00:00,ligue-1,34,Paris Saint-Germain,Auxerre,3,1,Parc des Princes
12450276,2025-05-10 19:00:00+00:00,ligue-1,33,Montpellier,Paris Saint-Germain,1,4,Stade de la Mosson
12450270,2025-05-03 15:00:00+00:00,ligue-1,32,RC Strasbourg,Paris Saint-Germain,2,1,Stade de la Meinau
12450226,2025-04-25 18:45:00+00:00,ligue-1,31,Paris Saint-Germain,Nice,1,3,Parc des Princes
13633560,2025-04-22 18:45:00+00:00,ligue-1,29,Nantes,Paris Saint-Germain,1,1,Stade de la Beaujoire
