match_id,match_datetime_utc,tournament_name,round_number,home_team_name,away_team_name,home_score,away_score,venue_name
12437503,2025-05-25 19:00:00+00:00,laliga,38,Athletic Club,Barcelona,0,3,San Mamés
12437489,2025-05-18 17:00:00+00:00,laliga,37,Barcelona,Villarreal,2,3,Olímpic Lluís Companys
12437654,2025-05-15 19:30:00+00:00,laliga,36,Espanyol,Barcelona,0,2,Livens Jean Louis
12437545,2025-05-11 14:15:00+00:00,laliga,35,Barcelona,Real Madrid,4,3,Olímpic Lluís Companys
12437534,2025-05-03 19:00:00+00:00,laliga,34,Real Valladolid,Barcelona,1,2,José Zorrilla
